"No","COUNTY","Age","Male","Female","Total"
1,"BARINGO","Total",299456,292006,591462
2,"BARINGO",0,7195,6942,14137
3,"BARINGO",1,7647,7385,15032
4,"BARINGO",2,9244,8749,17993
5,"BARINGO",3,9254,9081,18335
6,"BARINGO",4,10078,9314,19392
7,"BARINGO","0 - 4",43418,41471,84889
8,"BARINGO",5,9794,9173,18967
9,"BARINGO",6,10080,9468,19548
10,"BARINGO",7,8702,8176,16878
11,"BARINGO",8,9475,9224,18699
12,"BARINGO",9,8493,8216,16709
13,"BARINGO","5-9",46544,44257,90801
14,"BARINGO",10,11904,11128,23032
15,"BARINGO",11,7318,7519,14837
16,"BARINGO",12,10988,9658,20646
17,"BARINGO",13,8953,8244,17197
18,"BARINGO",14,9065,8258,17323
19,"BARINGO","10-14",48228,44807,93035
20,"BARINGO",15,9707,8502,18209
21,"BARINGO",16,7991,7282,15273
22,"BARINGO",17,7691,6736,14427
23,"BARINGO",18,6692,5940,12632
24,"BARINGO",19,6544,5877,12421
25,"BARINGO","15-19",38625,34337,72962
26,"BARINGO",20,7123,6851,13974
27,"BARINGO",21,5187,5127,10314
28,"BARINGO",22,4888,5029,9917
29,"BARINGO",23,4978,5014,9992
30,"BARINGO",24,4471,4450,8921
31,"BARINGO","20-24",26647,26471,53118
32,"BARINGO",25,5534,5593,11127
33,"BARINGO",26,3538,3806,7344
34,"BARINGO",27,3635,3783,7418
35,"BARINGO",28,3148,3565,6713
36,"BARINGO",29,3287,3526,6813
37,"BARINGO","25-29",19142,20273,39415
38,"BARINGO",30,5239,5644,10883
39,"BARINGO",31,2715,2874,5589
40,"BARINGO",32,3165,3372,6537
41,"BARINGO",33,2732,2915,5647
42,"BARINGO",34,2242,2326,4568
43,"BARINGO","30-34",16093,17131,33224
44,"BARINGO",35,4300,4387,8687
45,"BARINGO",36,2164,2019,4183
46,"BARINGO",37,2229,1876,4105
47,"BARINGO",38,1602,1729,3331
48,"BARINGO",39,1968,1822,3790
49,"BARINGO","35-39",12263,11833,24096
50,"BARINGO",40,3401,3048,6449
51,"BARINGO",41,2530,2231,4761
52,"BARINGO",42,1964,1886,3850
53,"BARINGO",43,1573,1781,3354
54,"BARINGO",44,1175,1362,2537
55,"BARINGO","40-44",10643,10308,20951
56,"BARINGO",45,3308,3217,6525
57,"BARINGO",46,1650,1800,3450
58,"BARINGO",47,1770,1803,3573
59,"BARINGO",48,1046,1115,2161
60,"BARINGO",49,1380,1573,2953
61,"BARINGO","45-49",9154,9508,18662
62,"BARINGO",50,2238,2496,4734
63,"BARINGO",51,1268,1270,2538
64,"BARINGO",52,1089,1216,2305
65,"BARINGO",53,861,926,1787
66,"BARINGO",54,1258,1358,2616
67,"BARINGO","50-54",6714,7266,13980
68,"BARINGO",55,1144,996,2140
69,"BARINGO",56,994,1013,2007
70,"BARINGO",57,1032,1346,2378
71,"BARINGO",58,1263,1389,2652
72,"BARINGO",59,1244,1274,2518
73,"BARINGO","55-59",5677,6018,11695
74,"BARINGO",60,1801,1948,3749
75,"BARINGO",61,1111,984,2095
76,"BARINGO",62,791,801,1592
77,"BARINGO",63,863,880,1743
78,"BARINGO",64,583,620,1203
79,"BARINGO","60-64",5149,5233,10382
80,"BARINGO",65,1149,1325,2474
81,"BARINGO",66,517,520,1037
82,"BARINGO",67,1002,916,1918
83,"BARINGO",68,532,530,1062
84,"BARINGO",69,885,980,1865
85,"BARINGO","65-69",4085,4271,8356
86,"BARINGO",70,1209,1458,2667
87,"BARINGO",71,834,726,1560
88,"BARINGO",72,552,532,1084
89,"BARINGO",73,387,458,845
90,"BARINGO",74,462,502,964
91,"BARINGO","70-74",3444,3676,7120
92,"BARINGO",75,466,514,980
93,"BARINGO",76,275,274,549
94,"BARINGO",77,304,324,628
95,"BARINGO",78,196,205,401
96,"BARINGO",79,339,566,905
97,"BARINGO","75-79",1580,1883,3463
98,"BARINGO",80,432,649,1081
99,"BARINGO",81,157,323,480
100,"BARINGO",82,129,149,278
101,"BARINGO",83,159,241,400
