County/ Sub-County,ConventionalHouseholds,Makuti/Twigs,Makuti thatch,Dung/Mud,Iron sheets,Tins/cans,Asbestos  Concrete/sheet,Cement,Tiles,Canvas/Tents,Decra/Versatile,Nylon/Cartons/Cardboard,Shingles,Not Stated
KENYA,12043016,5.1,1.6,0.9,80.3,0.1,1.4,8.2,1,0.1,0.6,0.6,0,0
Rural,7379282,7.9,2.3,1.3,85.7,0.2,0.9,0.5,0.2,0.1,0.3,0.6,0,0
Urban,4663734,0.6,0.5,0.2,71.8,0.1,2.2,20.5,2.4,0,0.9,0.7,0.1,0
MOMBASA,376295,0.1,0.5,0.3,79.1,0.1,2.1,14.8,1.1,0,0.4,1.2,0.1,0
CHANGAMWE,46439,0,0.1,0.6,81.1,0.1,4.1,11.4,0.3,0,0.1,2.1,0,0
JOMVU,53214,0.1,0.7,0.3,85.3,0.1,0.9,11.1,0.2,0,0.2,0.7,0.3,0
KISAUNI,88159,0.2,0.9,0.2,84.2,0.1,2.3,9,1,0,0.4,1.6,0.1,0
LIKONI,80002,0.1,0.6,0.2,93.5,0.1,1.5,2.8,0.3,0,0.1,0.7,0,0
MVITA,38710,0.1,0.1,0.5,31.7,0.1,2.3,59.8,3.1,0.1,1.2,0.9,0.1,0.1
NYALI,69771,0.1,0.5,0.4,76.5,0.1,2.1,16.1,2.3,0,0.4,1.4,0,0
KWALE,172802,4,25.4,0.2,68.3,0.1,0.9,0.7,0.1,0,0.2,0.1,0,0
KINANGO,16041,12.4,17.3,0.3,68.8,0,0.6,0.1,0.1,0.1,0.1,0.2,-,0
LUNGALUNGA,37276,7.3,34.2,0.3,57,0.1,0.6,0.1,0.1,0.1,0,0.2,0,0
MATUGA,39124,1.2,33.7,0.1,63.1,0,1.1,0.3,0.1,0,0.2,0,0,0
MSAMBWENI,45374,0.5,26.3,0.1,69.1,0.1,1.2,2,0.3,0,0.3,0.1,0,0
SAMBURU,34987,4.2,9.1,0.2,84.7,0.1,0.6,0.2,0.1,0.1,0.3,0.2,0,0.1
KILIFI,297990,2.1,20.5,0.2,71.6,0.1,1.1,3.4,0.4,0.1,0.2,0.2,0,0
CHONYI,11416,1.5,48.9,0.1,48.7,0,0.5,0.1,0,0,0.1,-,-,-
GANZE,23197,5.9,13.4,0.6,79.2,0.1,0.2,0.2,0,0.1,0,0.2,0,0.1
KALOLENI,36344,1,15.4,0.2,79.8,0.1,0.6,1.3,1.1,0,0.3,0.1,0,0
KAUMA,3479,3.1,37.6,0.1,58.5,0,0.2,0.3,-,0.1,0,0.1,-,-
KILIFI NORTH,39508,0.8,26.5,0.1,68.7,0,1.5,1.6,0.5,0,0.3,0,0,0
KILIFI SOUTH,53011,0.4,17.5,0.2,71.1,0.1,2,7.2,0.6,0,0.5,0.2,0.1,0
MAGARINI,32978,7,23.5,0.2,68,0.1,0.3,0.5,0,0.2,0,0.2,0,0
MALINDI,73317,1.9,18.2,0.1,70.8,0.1,1.3,6.7,0.2,0.1,0.2,0.4,0,0
RABAI,24740,0.3,18.9,0.1,78.2,0.1,0.5,0.9,0.1,0,0.3,0.4,0,0
TANA RIVER,66984,33.5,8.8,1.1,52.9,0.1,0.5,0.6,0.1,1.3,0,0.9,0,0.1
TANA DELTA,22395,34.7,19.1,0.5,42.1,0.1,0.5,0.2,0,1.8,0.1,0.8,0,0
TANA NORTH,26119,34.8,3.7,1.7,55.3,0.2,0.5,1.1,0,1.6,0,1,0,0
TANA RIVER,18470,30.3,3.5,0.9,62.8,0.1,0.6,0.4,0.2,0.4,0,0.7,-,0.1
LAMU,34231,9,19,0.3,55.6,0,1.2,13.7,0,0.4,0.1,0.6,0,0
LAMU EAST,4476,7.6,50,0.1,27.4,0,0.6,13.9,-,0.3,0,0.1,-,-
LAMU WEST,29755,9.2,14.4,0.3,59.8,0.1,1.3,13.7,0,0.4,0.1,0.7,0,0
TAITA/TAVETA,94468,0.9,0.3,0.2,94.9,0.3,1.5,1,0.3,0,0.3,0.1,0.1,0
MWATATE,23184,0.2,0.1,0.1,97.6,0.4,0.7,0.2,0.1,0.1,0.4,0.1,0,0
TAITA,14985,0.5,0,0.2,95,0.8,1.6,0.7,0.7,0,0.4,0,0.1,0
TAVETA,23417,2.4,1.1,0.2,92.6,0.1,2.2,0.6,0.2,0,0.3,0.2,0.1,0
VOI,32882,0.6,0,0.1,94.7,0.1,1.4,1.9,0.5,0,0.3,0.2,0.1,0
GARISSA,138940,33.9,2.2,4.6,53,0.8,1.2,3.1,0.4,0.2,0.1,0.3,0,0
BALAMBALA,3986,55.8,9,7.5,23.6,1.9,0.4,1.6,0.2,0.2,-,0,-,-
DADAAB,35169,19.7,1.6,8.7,65,1.2,0.9,2.1,0.2,0.3,0,0.2,0,0
FAFI,23351,33.8,3.6,5.3,52.5,1,0.2,1.9,0.3,0.7,0.1,0.4,0.2,0
GARISSA,29790,11.3,1.8,1.7,73.2,0.4,3.1,6.6,1.2,0.1,0.3,0.1,0,0.1
HULUGHO,20078,78.5,0.5,1.9,17.5,0.5,0,1.1,0,0,0,0,0,0
IJARA,18296,35.3,2.9,1.7,52.3,0.8,2,4,0.5,0.1,0.2,0.2,0,0
LAGDERA,8270,54.1,2,7.6,33.2,0.4,0.3,1,0.1,0,0,1.2,-,-
WAJIR,126878,50.8,3,4,36.2,0.5,0.8,2.8,0.4,0.3,0,1.1,0.1,0
BUNA,6480,40.4,1.9,4.3,41.8,0.4,0.6,0.5,0.2,0.1,0,9.7,0,-
ELDAS,13862,64.5,4.1,4.4,20.5,0.9,0.5,2.1,1,0.1,0,2,0,-
HABASWEIN,31113,32.3,2,3.1,55.5,0.7,0.9,4.4,0.2,0.5,0,0.3,0.1,0
TARBAJ,9241,78.8,1.8,2.8,15.3,0.4,0.2,0.4,0.3,0,-,0,-,-
WAJIR EAST,18282,36.1,4.6,1.7,49.5,0.5,1,5.1,0.7,0.1,0.2,0.2,0.3,0
WAJIR NORTH,10478,32.3,2.5,8.7,47.8,0.6,2.7,2.8,0.4,0,0,2,0,-
WAJIR SOUTH,21149,64.8,2.9,5.8,24.5,0.2,0.2,0.6,0,0.3,0,0.6,-,0
WAJIR WEST,16273,73.3,3.5,2.8,15.3,0.4,0.9,3,0.1,0.7,0,0,0,-
MANDERA,123954,43.1,4.5,4.5,42.2,0.6,0.6,2.6,0.2,0.8,0.1,0.8,0,0
MANDERA WEST,14201,31.9,1.5,7.7,53.3,0.5,1.3,1.6,0.3,0.4,0,1.5,-,0
BANISA,24000,44.7,4.1,7,40.1,0.5,0.4,1.3,0.1,0.7,0,1.1,0,0
KOTULO,9342,51.4,3.8,3.2,37.2,0.8,0.4,2.7,0.2,0.1,0,0.1,-,-
LAFEY,11380,58.3,7,3.2,26.7,1.1,0.4,0.7,0.5,1.7,0,0.2,0,-
MANDERA CENTRAL,20795,34.3,3,4.8,51.9,0.4,0.5,3.6,0.3,0.2,0,0.9,0,0.1
MANDERA EAST,25206,33.5,7,2.2,49.3,0.5,1.2,4.8,0.3,0.2,0.2,0.6,0,-
MANDERA NORTH,19030,58.6,4.5,3.3,28,0.4,0.2,2.2,0.1,2.2,0,0.5,0,-
MARSABIT,76689,31.1,10.5,1.7,43.2,0.2,0.8,0.9,0.1,0.2,0.1,11.4,0,0.1
LOIYANGALANI,7646,49.1,17,2.4,10.3,0,0.8,0.5,-,0.2,0,19.6,-,-
MARSABIT CENTRAL,15658,9.6,0.7,1,78.8,0.4,1.8,1,0.1,0.1,0.3,6,0,0
MARSABIT NORTH,7468,33.1,48.2,0.3,15.4,0.1,0.2,0.4,0,0.1,-,2.2,0,-
MARSABIT SOUTH,11563,36.2,8.5,1.7,10.9,0.1,0.2,0.4,-,0.1,0,41.9,0,0
MOYALE,17591,24,0.7,3,64.2,0.1,1,1.9,0.1,0.2,0.1,4.6,0,0
NORTH HORR,9601,49.7,18.8,0.6,25.1,0.6,0.1,0.1,0,0,-,4.6,-,0.4
SOLOLO,7162,40.5,1.9,1.8,53.7,0.1,0.3,0.8,0,0.6,-,0.3,-,0
ISIOLO,53217,15.9,1.4,2.5,70.2,0.3,0.7,1.9,0.3,0.3,0.4,6.1,0,0
GARBATULLA,17047,26.1,2.6,3.5,64.9,0.6,0.3,1.1,0.4,0.1,0.1,0.3,-,0
ISIOLO,27612,4.1,0.3,2.4,76,0.1,1.2,2.9,0.2,0.5,0.7,11.5,0,0
MERTI,8558,33.4,2.8,0.8,62.4,0.1,0.1,0.2,0,0.1,0,-,-,-
MERU,423931,0.5,0.1,0.2,94.3,0.1,1.8,1.4,0.2,0,0.7,0.3,0.1,0
BUURI EAST,23737,0,0,0.1,96.7,0.2,1.5,0.6,0.1,-,0.7,0.1,0,0
BUURI WEST,27905,0.2,0.1,0.1,95.3,0.1,2.5,0.6,0.1,0,0.4,0.5,0.1,0
IGEMBE CENTRAL,51848,0.7,0.2,0.2,96.4,0.1,1.2,0.3,0.1,0.1,0.5,0.2,0.1,0
IGEMBE NORTH,38716,0.8,0.2,0.5,95.2,0.1,1.6,0.7,0.1,0,0.3,0.3,0.2,0
IGEMBE SOUTH,43222,0.3,0.2,0.2,94.1,0.1,1.8,2,0.1,0,0.5,0.4,0.3,0.1
IMENTI NORTH,57556,0,0,0.1,90.6,0.1,1.8,4.9,0.5,0,1.3,0.6,0,0
IMENTI SOUTH,63954,0.2,0,0.1,94.2,0.1,2.3,1.5,0.2,0,1.1,0.2,0,0
MERU CENTRAL,39498,0.2,0,0.2,95.6,0.1,2.1,0.6,0.1,0,0.7,0.2,0,0
TIGANIA CENTRAL,24983,0.7,0.1,0.4,95.4,0.1,1.7,0.6,0.1,0.1,0.7,0.1,0.1,0
TIGANIA EAST,16791,5.3,0.3,0.8,89.6,0.1,1.7,0.6,0.1,0.1,0.6,0.7,0,0.1
TIGANIA WEST,35402,0.3,0.1,0.3,95.3,0.2,2.2,0.6,0.1,0,0.6,0.1,0.1,0
MERU NATIONAL PARK,46,-,-,-,97.8,2.2,- ,-,-,-,-,-,-,-
MT. KENYA FOREST,273,42.9,17.6,-,12.8,-,0.4,-,-,2.2,-,22,2.2,-
THARAKA-NITHI,109450,0.7,0.1,0.3,95.4,0.1,0.7,1.5,0.1,0,0.7,0.3,0,0
IGAMBANG'OMBE,14383,1.3,0.1,0.4,96.8,0.1,0.4,0.3,0.1,0,0.4,0,0,0
MAARA,34779,0.3,0,0.1,96.9,0.1,0.8,0.9,0.1,0,0.6,0,0,0
MERU SOUTH,28211,0.1,0,0.1,92.8,0.1,0.3,4,0.3,0,1.1,1.1,0,0
THARAKA NORTH,13403,2.4,0.5,0.9,94.5,0.2,0.8,0.1,0.1,0,0.5,0.1,0.1,0.1
THARAKA SOUTH,18603,1,0.1,0.5,96.3,0.2,0.9,0.4,0,0,0.6,-,0,0
MT. KENYA FOREST,71,-,-,-,100,-,- ,-,-,-,-,-,-,-
EMBU,182427,0.2,0,0.2,95,0.1,0.9,2.4,0.3,0,0.7,0.1,0,0
EMBU EAST,39586,0,0.1,0.2,96.6,0.1,1,0.8,0.2,0,0.9,0,0,-
EMBU NORTH,24294,0,0,0.1,97.8,0.1,0.7,0.5,0.3,0,0.4,0.1,0,0
EMBU WEST,43126,0,0,0.1,88.8,0.1,1.2,7.9,0.9,0,0.6,0.3,0,0
MBEERE SOUTH,45924,0.4,0,0.2,96.8,0.1,0.7,0.8,0.1,0,0.6,0.1,0,0
MBEERE NORTH,29483,0.4,0.1,0.4,97,0.1,0.7,0.4,0.1,0,0.7,0.1,0,0
MT. KENYA FOREST,14,-,-,-,92.9,-,7.1,-,-,-,-,-,-,-
KITUI,261814,2.7,0.3,0.4,93.1,0.1,1.5,1,0.3,0,0.5,0.1,0,0
IKUTHA,16579,3.5,0.1,0.3,94.4,0.1,1,0.3,0,0,0.2,0,0,0
KATULANI,12166,0.4,0.1,0.3,95.1,0.1,2.6,0.3,0.2,-,0.8,0.1,0.1,-
KISASI,10860,0.5,0,0.1,96.6,0.2,1,0.5,0.1,0,0.9,0,-,0
KITUI CENTRAL,29026,0.3,0,0.3,91.4,0.1,2.3,3.6,0.7,0.1,0.9,0.2,0,0
KITUI WEST,17465,0.2,0,0.1,95.7,0.1,1.8,0.6,0.7,-,0.6,0,0,-
KYUSO,15969,3.7,0.1,0.4,93.7,0.1,0.8,0.8,0.1,0,0.2,0.1,0.1,0
LOWER YATTA,15021,1.3,0.2,0.7,94,0.1,1.7,1.2,0.3,0.1,0.4,0,0,0
MATINYANI,11497,0.4,0,0.1,96.1,0.1,1.6,0.4,0.4,0,0.8,0,0,-
MIGWANI,18843,0.2,0,0.2,96.9,0.1,1.3,0.5,0.2,0,0.6,0,-,0
MUMONI,6451,3.1,0.1,0.1,95.4,0.2,0.7,0.1,0,-,0.3,0,-,0
MUTITU,11490,7.9,1.4,0.9,87.4,0.1,1.2,0.4,0.1,0.1,0.2,0.1,-,0.1
MUTITU NORTH,4929,2.4,0.2,0.3,94.6,0.2,0.5,0.2,0.2,0.1,1.1,0.1,0.1,0
MUTOMO,23034,7.3,1.2,0.3,88.7,0.2,1.5,0.2,0.2,0,0.3,0.1,0,0
