County/ Sub-County,Conventional Households,Earth/ Sand,Dung,"Wood
planks/
Shingles/
Timber","Palm/
Bamboo",Parquet or polished wood,Vinyl or asphal tstrips,Ceramic tiles,"Concrete/
Cement/Terrazo","Wall to wall
Carpet","Not
Stated"
KENYA,"12,043,016",30,13.4,0.4,0.1,0.3,0.1,10.3,43.7,1.5,0
Rural,7379282,42.3,21.1,0.4,0.1,0.1,0.1,3.8,31.3,0.7,0
Urban,4663734,10.6,1.4,0.4,0,0.7,0.3,20.6,63.3,2.8,0
MOMBASA,376295,13.1,0.3,0.1,0,0.2,0.1,19.6,62.3,4.1,0
CHANGAMWE,46439,10.1,0.2,0.1,0,0,0.2,8.6,76.6,4.1,0
JOMVU,53214,18.8,0.8,0,0.1,0,0.3,10.5,64.7,4.7,0
KISAUNI,88159,18.7,0.4,0,0,0.3,0.2,22.3,54.5,3.6,0
LIKONI,80002,11.5,0.1,0.3,0,0.1,0.1,12,71.6,4.3,0
MVITA,38710,8.3,0.3,0.1,0,0.1,0.2,42,45.7,3.2,0.1
NYALI,69771,8.3,0.1,0.2,0,0.3,0.1,27,59.2,4.8,0
KWALE,172802,58.6,0.5,0,0,0.1,0,4.4,35.1,1.2,0
KINANGO,16041,83.7,0.2,0,0,0,0,1.4,14.2,0.4,0
LUNGALUNGA,37276,76.5,1,0.1,0,0.1,0.1,1.1,20.9,0.3,0
MATUGA,39124,54.9,0.2,0,-,0.1,0,5,38.9,1,0
MSAMBWENI,45374,29.5,0.3,0,0,0,0,9.7,57.7,2.7,0
SAMBURU,34987,70.1,0.5,0.1,0.2,0.1,0,2,26.1,0.8,0.1
KILIFI,297990,54.3,0.3,0.1,0,0.1,0.1,5.6,38.3,1.1,0
CHONYI,11416,86.6,0,0,-,0.1,-,0.3,12.8,0.1,-
GANZE,23197,86.9,0.3,0,0,0,0,0.5,12,0.1,0.1
KALOLENI,36344,62.6,0.5,0,0,0.1,0,5,31.1,0.7,0
KAUMA,3479,85.8,0.1,0.1,-,-,0,0.3,13.6,0.1,-
KILIFI NORTH,39508,43.5,0.5,0.3,0,0.1,0,7.6,46.8,1.1,0
KILIFI SOUTH,53011,34.5,0.2,0.1,0.1,0.1,0,11.8,50.8,2.3,0
MAGARINI,32978,78.2,0.2,0.1,0.1,0,0,1,19.8,0.6,0
MALINDI,73317,40.7,0.1,0,0,0.2,0.1,6.1,51.4,1.3,0
RABAI,24740,60.4,0.5,0,0,0,0.1,3.2,34.4,1.3,0
TANA RIVER,66984,75.2,0.8,0.3,0.2,0.1,0.1,1.8,20.3,1.1,0.1
TANA DELTA,22395,82,0.8,0.3,0,0,-,1.4,15.1,0.3,0
TANA NORTH,26119,69.1,0.9,0.4,0.4,0.2,0.3,1.3,25.6,1.7,0
TANA RIVER,18470,75.7,0.8,0.2,0,0,0,2.9,19.2,1.1,0.1
LAMU,34231,51.3,0.7,0.1,0,0,0,4.7,40.3,2.9,0
LAMU EAST,4476,36.6,0.1,0,-,-,-,4.7,54,4.7,-
LAMU WEST,29755,53.5,0.8,0.1,0,0,0,4.7,38.2,2.6,0
TAITA/TAVETA,94468,38.8,0.2,0,0,0.1,0,6.8,53,1,0
MWATATE,23184,42.4,0.1,0,0,0,0,4.9,51.9,0.7,0
TAITA,14985,49.4,0.1,0.1,-,0,0,5,44.8,0.6,0
TAVETA,23417,46.4,0.7,0.1,0,0.1,0.1,5.5,45.6,1.6,0
VOI,32882,26,0.1,0,0,0,0,10,62.9,1,0
GARISSA,138940,68.2,3.4,2.2,0.9,0.7,0.5,3.2,18.9,1.9,0
BALAMBALA,3986,81.6,4.3,3.7,2.6,1,0.3,1,5.3,0.3,-
DADAAB,35169,79.9,5.3,2.6,1.1,1,0.8,0.9,7.5,0.9,0
FAFI,23351,82.7,3.6,2.3,0.7,0.7,0.2,0.5,7.9,1.5,0
GARISSA,29790,29.3,1.2,1.3,0.5,0.7,0.6,11.1,50.8,4.3,0.1
HULUGHO,20078,90.2,3.5,0.9,0.5,0.1,0.1,0.8,3.9,0.1,0
IJARA,18296,53.8,3.5,3.6,1.6,1,0.6,2.9,29.7,3.1,0
LAGDERA,8270,90.4,2,2.5,0.1,0.3,0.1,0.6,3.4,0.6,-
WAJIR,126878,78.2,2.6,1.8,0.6,0.7,0.3,2.2,12.7,0.9,0
BUNA,6480,92.2,3.2,0.8,0.3,0.2,0.2,0.3,2,0.9,-
ELDAS,13862,81.3,4.5,3.6,1,1.3,0.5,3.1,3.9,0.7,-
HABASWEIN,31113,74.3,1.2,1.7,0.5,0.4,0.3,2.2,18.2,1.2,0
TARBAJ,9241,91.7,3.2,1.9,0.6,0.4,0.1,0.5,1.2,0.2,-
WAJIR EAST,18282,52.8,1.3,2.1,1.1,1,0.5,7.5,31.4,2.3,0
