NO,County/Sub County,Farming,Tea,Coffee,Avocado,Citrus,Mango,Coconut,Macadamia,Cashew Nut,Khat (Miraa)
1,KENYA,6354211,476613,478936,966976,177445,796867,90952,195999,61664,134148
2,MOMBASA,12497,-,-,-,-,-,1688,-,602,-
3,KWALE,108074,-,-,1063,10053,30272,31954,881,22803,-
4,KILIFI,161188,-,-,-,6808,37519,47561,-,27940,-
5,TANA RIVER,35094,-,-,-,1109,6561,2228,-,1691,-
6,LAMU,18678,-,-,-,2742,7423,5017,189,8085,-
7,TAITA/TAVETA,56920,-,-,7963,3284,7171,2504,3650,543,-
8,GARISSA,47645,-,-,-,-,1726,-,-,-,-
9,WAJIR,63433,-,-,-,-,-,-,-,-,-
10,MANDERA,62639,-,-,-,-,2685,-,-,-,-
11,MARSABIT,39167,-,-,-,-,-,-,-,-,-
12,ISIOLO,24271,-,-,-,-,-,-,-,-,-
13,MERU,274865,30404,28195,41746,6255,27457,-,29545,-,85023
14,THARAKA-NITHI,85767,7227,15792,13171,1630,14102,-,9280,-,8404
15,EMBU,130990,18664,28996,19355,3581,26771,-,27488,-,34900
16,KITUI,215322,-,-,12066,7510,35471,-,-,-,-
17,MACHAKOS,231341,-,23525,45243,22797,75504,-,6519,-,-
18,MAKUENI,193531,-,3371,34107,27006,70130,-,4293,-,-
19,NYANDARUA,140854,-,-,2892,1580,-,-,-,-,-
20,NYERI,164229,23300,57983,22810,2521,10228,-,25436,-,-
21,KIRINYAGA,139866,25135,47835,19691,2429,15311,-,28508,-,5821
22,MURANG'A,231400,43819,64533,52839,7210,38361,-,35618,-,-
23,KIAMBU,214052,20958,31152,31392,2160,9855,-,11748,-,-
24,TURKANA,61209,-,-,-,-,-,-,-,-,-
25,WEST POKOT,89828,-,1026,7535,1173,4426,-,-,-,-
26,SAMBURU,43149,-,-,-,-,-,-,-,-,-
27,TRANS NZOIA,140249,2780,4089,26594,1987,6721,-,-,-,-
28,UASIN GISHU,141547,-,-,8430,1376,2505,-,-,-,-
29,ELGEYO/MARAKWET,74881,751,1390,5224,1632,6430,-,518,-,-
30,NANDI,148887,37564,11044,29356,1202,5806,-,-,-,-
31,BARINGO,100465,-,3069,12372,2605,10600,-,1673,-,-
32,LAIKIPIA,90729,-,-,5273,2121,2103,-,773,-,-
33,NAKURU,283652,10041,-,20209,4332,6560,-,-,-,-
34,NAROK,181706,-,-,13430,1784,2332,-,-,-,-
35,KAJIADO,97565,-,-,2994,-,2776,-,-,-,-
36,KERICHO,150845,55837,24774,40748,2283,5588,-,-,-,-
37,BOMET,152564,50704,1940,44903,3298,3679,-,-,-,-
38,KAKAMEGA,335269,4644,2990,63886,4435,49075,-,2292,-,-
39,VIHIGA,113753,11273,1717,34321,1233,26209,-,-,-,-
40,BUNGOMA,280445,2047,37773,73765,5268,54581,-,2428,-,-
41,BUSIA,148257,-,1498,27498,3616,35530,-,1148,-,-
42,SIAYA,194362,-,-,31729,7350,44660,-,1262,-,-
43,KISUMU,147117,-,-,19478,5265,28305,-,-,-,-
44,HOMA BAY,193812,1365,2864,29880,7496,34557,-,1554,-,-
45,MIGORI,169958,-,3864,33338,4444,27231,-,1196,-,-
46,KISII,219853,67394,53580,88326,3850,17144,-,-,-,-
47,NYAMIRA,110028,62706,25936,43349,2020,3502,-,-,-,-
48,NAIROBI,32258,-,-,-,-,-,-,-,-,-
