County,Total,Sex Male ,Sex Female, Sex Intersex,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
KENYA,32732596,16195922,16535833,841,7432249,"7,379,282","52,967","573,370",57
MOMBASA,-,-,-,-,-,-,-,-,-
KWALE,740389,362726,377650,13,136171,"135,892",279,8191,90
KILIFI,1059899,512765,547115,19,185754,"185,387",367,"120,384",86
TANA RIVER,240221,120696,119524,1,48345,"47,670",675,"370,714",6
LAMU,105474,56570,48902,2,27749,"24,161","3,588",6215,17
TAITA/TAVETA,246897,126717,120178,2,66940,"65,015","1,925","171,939",14
GARISSA,630463,349423,281013,27,103697,"102,003","1,694","440,577",14
WAJIR,604089,320562,283500,27,97276,"96,882",394,"560,398",11
MANDERA,596990,299428,297535,27,85481,"84,728",753,"250,773",23
MARSABIT,352546,188758,163772,16,57004,"56,465",539,"70,808",5
ISIOLO,142333,76435,65894,4,28824,"25,352","3,472","240,791",6
MERU,1406796,699532,707228,36,375450,"373,302","2,148",6971,202
THARAKA-NITHI,360434,177716,182712,6,97949,"97,614",335,2539,142
EMBU,532675,267126,265534,15,154594,"154,301",293,2778,192
KITUI,1082168,522943,559193,32,243692,"242,607","1,085","30,406",36
MACHAKOS,1007854,504247,503582,25,259497,"256,809","2,688",5794,174
MAKUENI,910577,450482,460075,20,217610,"217,052",558,8111,112
NYANDARUA,571754,282499,289240,15,156437,"155,007","1,430",3241,176
NYERI,608409,300893,307488,28,190313,"189,091","1,222",3243,188
KIRINYAGA,474187,237086,237083,18,154644,"154,255",389,1395,340
MURANG'A,938213,467062,471121,30,276508,"276,037",471,2452,383
KIAMBU,711450,355557,355866,27,207710,"207,550",160,1776,401
TURKANA,786185,406490,379675,20,133899,"132,634","1,265","670,999",12
WEST POKOT,589400,291469,297916,15,107572,"107,166",406,9106,65
SAMBURU,263195,133058,130130,7,53120,"51,458","1,662","211,935",13
TRANS NZOIA,811607,400606,410978,23,174249,"173,578",671,2386,340
UASIN GISHU,652981,326269,326700,12,143434,"139,957","3,477",3093,211
ELGEYO/MARAKWET,433901,217344,216548,9,93720,"93,023",697,3021,144
NANDI,826232,411715,414497,20,180826,"180,511",315,2809,294
BARINGO,591474,299456,292006,12,119994,"119,363",631,"10,923",54
LAIKIPIA,391200,196277,194909,14,104463,"103,022","1,441",9359,42
NAKURU,1115122,559639,555458,25,276259,"269,525","6,734",6556,170
NAROK,1057521,529224,528276,21,209185,"206,285","2,900","170,884",59
KAJIADO,495218,250233,244970,15,108562,"106,566","1,996","210,483",23
KERICHO,808239,402717,405500,22,175193,"175,119",74,2394,338
BOMET,847718,420119,427577,22,178135,"177,886",249,2496,340
KAKAMEGA,1682239,806682,875526,31,378386,"377,604",782,2899,580
VIHIGA,531629,255727,275892,10,127476,"127,400",76,537,991
BUNGOMA,1480458,720235,760194,29,307981,"307,149",832,2912,508
BUSIA,779928,371289,408611,28,167368,"167,184",184,1654,471
SIAYA,907766,431450,476301,15,225031,"224,404",627,2480,366
KISUMU,714668,344721,369939,8,169013,"168,796",217,1947,367
HOMA BAY,1018871,485991,532861,19,230012,"229,176",836,3111,327
MIGORI,949236,455887,493318,31,197268,"195,462","1,806",2529,375
KISII,1115450,531860,583560,30,261837,"261,383",454,1284,869
NYAMIRA,558540,268241,290286,13,137621,"137,451",170,876,638
NAIROBI,-,-,-,-,-,-,-,-,-
