County,SubCounty,Total,Sex Male ,Sex Female,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
KENYA,-,47564296,23548056,24014716,12143913,"12,043,016 "," 100,897",580895,82
MOMBASA,-,1208333,610257,598046,378422,"376,295 "," 2,127",220,5495
MOMBASA,CHANGAMWE,131882,68761,63121,46614,"46,439 ", 175,18,7457
MOMBASA,JOMVU,163415,83002,80410,53472,"53,214 ", 258,37,4432
MOMBASA,KISAUNI,291930,146748,145176,88202,"88,159 ", 43,88,3328
MOMBASA,LIKONI,250358,126962,123392,81191,"80,002 "," 1,189",40,6187
MOMBASA,MVITA,154171,75565,78601,38995,"38,710 ", 285,15,10543
MOMBASA,NYALI,216577,109219,107346,69948,"69,771 ", 177,23,9610
KWALE,,866820,425121,441681,173176,"172,802 ", 374,8254,105
KWALE,KINANGO,94220,45413,48806,16043,"16,041 ", 2,1612,58
KWALE,LUNGA LUNGA,198423,97174,101245,37366,"37,276 ", 90,2765,72
KWALE,MATUGA,194252,95831,98419,39231,"39,124 ", 107,1034,188
KWALE,MSAMBWENI,177690,89206,88480,45466,"45,374 ", 92,412,432
KWALE,SAMBURU,202235,97497,104731,35070,"34,987 ", 83,2430,83
KILIFI,-,1453787,704089,749673,298472,"297,990 ", 482,12553,116
KILIFI,CHONYI,62335,29527,32807,11421,"11,416 ", 5,193,324
KILIFI,GANZE,143906,66921,76981,23258,"23,197 ", 61,3218,45
KILIFI,KALOLENI,193682,92614,101063,36355,"36,344 ", 11,706,274
KILIFI,KAUMA,22638,10965,11673,3479,"3,479 ", -,181,125
KILIFI,KILIFI NORTH,178824,86986,91836,39512,"39,508 ", 4,264,676
KILIFI,KILIFI SOUTH,206753,101852,104897,53074,"53,011 ", 63,290,712
KILIFI,MAGARINI,191610,93302,98308,33017,"32,978 ", 39,5229,37
KILIFI,MALINDI,333226,163351,169866,73547,"73,317 ", 230,2263,147
KILIFI,RABAI,120813,58571,62242,24809,"24,740 ", 69,208,581
TANA RIVER,,315943,158550,157391,68242,"66,984 "," 1,258",37904,8
TANA RIVER,TANA DELTA,110640,55716,54924,22791,"22,395 ", 396,15432,7
TANA RIVER,TANA NORTH,116757,59123,57632,26886,"26,119 ", 767,13305,9
TANA RIVER,TANA RIVER,88546,43711,44835,18565,"18,470 ", 95,9167,10
LAMU,,143920,76103,67813,37963,"34,231 "," 3,732",6283,23
LAMU,LAMU EAST,22258,11675,10583,5090,"4,476 ", 614,2338,10
LAMU,LAMU WEST,121662,64428,57230,32873,"29,755 "," 3,118",3945,31
TAITA/TAVETA,,340671,173337,167327,96429,"94,468 "," 1,961",17152,20
TAITA/TAVETA,MWATATE,81659,41426,40231,23698,"23,184 ", 514,2723,30
TAITA/TAVETA,TAITA,55959,28386,27573,15094,"14,985 ", 109,478,117
TAITA/TAVETA,TAVETA,91222,47410,43812,24115,"23,417 ", 698,6399,14
TAITA/TAVETA,VOI,111831,56115,55711,33522,"32,882 ", 640,7553,15
GARISSA,,841353,458975,382344,141394,"138,940 "," 2,454",44753,19
GARISSA,BALAMBALA,32257,20277,11979,4337,"3,986 ", 351,3684,9
GARISSA,DADAAB,185252,99059,86185,35793,"35,169 ", 624,6415,29
GARISSA,FAFI,134040,72617,61413,23671,"23,351 ", 320,15050,9
GARISSA,GARISSA,163914,83460,80449,30518,"29,790 ", 728,3318,49
GARISSA,HULUGHO,133984,78081,55898,20254,"20,078 ", 176,7737,17
GARISSA,IJARA,141591,80458,61129,18481,"18,296 ", 185,2453,58
GARISSA,LAGDERA,50315,25023,25291,8340,"8,270 ", 70,6096,8
WAJIR,,781263,415374,365840,127932,"126,878 "," 1,054",56774,14
WAJIR,BUNA,49886,26796,23088,6480,"6,480 ", -,3888,13
WAJIR,ELDAS,89104,45028,44069,13961,"13,862 ", 99,4492,20
WAJIR,HABASWEIN,174134,94613,79505,31292,"31,113 ", 179,10912,16
WAJIR,TARBAJ,56637,26856,29776,9309,"9,241 ", 68,9608,6
WAJIR,WAJIR EAST,110654,59359,51292,18674,"18,282 ", 392,4053,27
WAJIR,WAJIR NORTH,62206,31990,30209,10490,"10,478 ", 12,4042,15
WAJIR,WAJIR SOUTH,116814,64947,51864,21364,"21,149 ", 215,10734,11
WAJIR,WAJIR WEST,121828,65785,56037,16362,"16,273 ", 89,9044,13
MANDERA,,867457,434976,432444,125763,"123,954 "," 1,809",25942,33
MANDERA,MANDERA WEST,98300,48166,50130,14274,"14,201 ", 73,4018,24
MANDERA,BANISA,152598,78301,74288,24285,"24,000 ", 285,3944,39
MANDERA,KOTULO,72394,35799,36593,9446,"9,342 ", 104,2509,29
MANDERA,LAFEY,83457,40476,42976,11597,"11,380 ", 217,3795,22
MANDERA,MANDERA CENTRAL,157220,71688,85527,21140,"20,795 ", 345,4032,39
MANDERA,MANDERA EAST,159638,83538,76095,25904,"25,206 ", 698,2506,64
MANDERA,MANDERA NORTH,143850,77008,66835,19117,"19,030 ", 87,5138,28
MARSABIT,,459785,243548,216219,77495,"76,689 ", 806,70944,6
MARSABIT,LOIYANGALANI,35713,17659,18051,7774,"7,646 ", 128,11789,3
MARSABIT,MARSABIT CENTRAL,79181,40956,38214,15849,"15,658 ", 191,2143,37
MARSABIT,MARSABIT NORTH,54297,30091,24205,7521,"7,468 ", 53,19837,3
MARSABIT,MARSABIT SOUTH,65376,33215,32161,11615,"11,563 ", 52,8447,8
MARSABIT,MOYALE,108949,56440,52508,17709,"17,591 ", 118,3327,33
MARSABIT,NORTH HORR,71447,41719,29726,9789,"9,601 ", 188,19337,4
MARSABIT,SOLOLO,44822,23468,21354,7238,"7,162 ", 76,6064,7
ISIOLO,,268002,139510,128483,58072,"53,217 "," 4,855",25349,11
ISIOLO,GARBATULLA,99730,54661,45068,18661,"17,047 "," 1,614",9902,10
ISIOLO,ISIOLO,121066,60414,60647,29853,"27,612 "," 2,241",2691,45
ISIOLO,MERTI,47206,24435,22768,9558,"8,558 "," 1,000",12756,4
MERU,,1545714,767698,777975,426360,"423,931 "," 2,429",7014,220
MERU,BUURI EAST,76598,38101,38497,23834,"23,737 ", 97,333,230
MERU,BUURI WEST,80762,40496,40264,27973,"27,905 ", 68,639,126
MERU,IGEMBE CENTRAL,221412,111208,110200,52031,"51,848 ", 183,603,367
MERU,IGEMBE NORTH,169317,83364,85949,38871,"38,716 ", 155,1113,152
MERU,IGEMBE SOUTH,161646,80192,81446,43281,"43,222 ", 59,255,633
MERU,IMENTI NORTH,177567,88506,89056,57668,"57,556 ", 112,232,767
MERU,IMENTI SOUTH,206506,103338,103162,64186,"63,954 ", 232,418,494
MERU,MERU CENTRAL,133818,66920,66894,39595,"39,498 ", 97,377,355
MERU,TIGANIA CENTRAL,104730,51814,52916,25039,"24,983 ", 56,237,441
MERU,TIGANIA EAST,72549,35352,37194,17185,"16,791 ", 394,511,142
MERU,TIGANIA WEST,139961,67715,72241,36207,"35,402 ", 805,399,351
MERU,MERU NATIONAL PARK,385,283,102,207,46 , 161,838,-
MERU,MT. KENYA FOREST,463,409,54,283,273 , 10,1060,-
THARAKA-NITHI,,393177,193764,199406,109860,"109,450 ", 410,2564,153
THARAKA-NITHI,IGAMBANG'OMBE,53210,26464,26745,14398,"14,383 ", 15,323,165
THARAKA-NITHI,MAARA,114894,57689,57205,35041,"34,779 ", 262,266,431
THARAKA-NITHI,MERU SOUTH,91080,44923,46155,28249,"28,211 ", 38,139,656
THARAKA-NITHI,THARAKA NORTH,58345,28290,30053,13413,"13,403 ", 10,839,70
THARAKA-NITHI,THARAKA SOUTH,75250,36190,39058,18646,"18,603 ", 43,637,118
THARAKA-NITHI,MOUNT KENYA FOREST,398,208,190,113,71 , 42,360,1
EMBU,,608599,304208,304367,182743,"182,427 ", 316,2821,216
EMBU,EMBU EAST,129564,64571,64991,39678,"39,586 ", 92,253,512
EMBU,EMBU NORTH,79556,39665,39888,24300,"24,294 ", 6,111,719
EMBU,EMBU WEST,127100,63125,63966,43153,"43,126 ", 27,158,804
EMBU,MBEERE SOUTH,163476,83311,80159,46065,"45,924 ", 141,1312,125
EMBU,MBEERE NORTH,108881,53517,55360,29528,"29,483 ", 45,784,139
EMBU,MOUNT KENYA FOREST,22,19,3,19,14 , 5,203,-
KITUI,,1136187,549003,587151,262942,"261,814 "," 1,128",30430,37
