County /Sub-County,Population Age 15 years and Above Total,Population Age 15 years and AboveMale,Population Age 15 years and Above Female,Searched and Bought Goods/Services online Total,percent total,Searched and Bought Goods/Services onlineMale,per cent male,Searched and Bought Goods/Services onlinefemale,per cent female
KENYA,28729203,14014340,14713949,1249133,4.3,698944,5,550116,3.7
Rural*,19002236,9243850,9757916,315571,1.7,193164,2.1,122389,1.3
Urban*,9726967,4770490,4956033,933562,9.6,505780,10.6,427727,8.6
MOMBASA,800412,403555,396843,58011,7.2,32027,7.9,25981,6.5
CHANGAMWE,90685,47934,42752,5398,6,3269,6.8,2129,5
JOMVU,106109,54315,51792,6589,6.2,3914,7.2,2675,5.2
KISAUNI,187488,93343,94143,13030,6.9,7093,7.6,5936,6.3
LIKONI,164014,84111,79901,7381,4.5,4485,5.3,2896,3.6
MVITA,104255,49260,54994,11235,10.8,5609,11.4,5626,10.2
NYALI,147861,74594,73263,14378,9.7,7657,10.3,6719,9.2
KWALE,472968,225949,247010,7004,1.5,4093,1.8,2910,1.2
KINANGO,46317,21109,25208,279,0.6,195,0.9,84,0.3
LUNGALUNGA,102695,48789,53906,685,0.7,463,0.9,222,0.4
MATUGA,111626,53782,57842,1615,1.4,928,1.7,687,1.2
MSAMBWENI,108942,54671,54268,3459,3.2,1867,3.4,1591,2.9
SAMBURU,103388,47598,55786,966,0.9,640,1.3,326,0.6
KILIFI,830180,389477,440696,18667,2.2,10824,2.8,7843,1.8
CHONYI,33919,15106,18813,187,0.6,132,0.9,55,0.3
GANZE,74499,31966,42533,495,0.7,340,1.1,155,0.4
KALOLENI,107266,49188,58077,1895,1.8,1115,2.3,780,1.3
KAUMA,12575,5985,6590,34,0.3,22,0.4,12,0.2
KILIFI NORTH,106503,50569,55934,3997,3.8,2329,4.6,1668,3
KILIFI SOUTH,126554,61234,65320,4555,3.6,2452,4,2103,3.2
MAGARINI,100925,47636,53290,782,0.8,548,1.2,234,0.4
MALINDI,195639,93614,102020,5716,2.9,3244,3.5,2472,2.4
RABAI,72300,34180,38120,1006,1.4,642,1.9,364,1
TANA RIVER,162150,79774,82374,1652,1,1115,1.4,537,0.7
TANA DELTA,56824,28041,28784,514,0.9,350,1.2,164,0.6
TANA NORTH,60646,30344,30301,502,0.8,347,1.1,155,0.5
TANA RIVER,44680,21390,23290,636,1.4,418,2,218,0.9
LAMU,86390,46364,40025,2645,3.1,1735,3.7,910,2.3
LAMU EAST,13788,7304,6484,281,2,206,2.8,75,1.2
LAMU WEST,72602,39060,33541,2364,3.3,1529,3.9,835,2.5
TAITA/TAVETA,220214,111666,108544,7417,3.4,4303,3.9,3114,2.9
MWATATE,53830,27449,26381,1217,2.3,742,2.7,475,1.8
TAITA,37290,18858,18433,1229,3.3,711,3.8,518,2.8
TAVETA,56777,29360,27418,1652,2.9,966,3.3,686,2.5
VOI,72317,36000,36313,3319,4.6,1884,5.2,1435,4
GARISSA,453174,248556,204594,7218,1.6,4541,1.8,2677,1.3
BALAMBALA,20043,12873,7169,145,0.7,86,0.7,59,0.8
DADAAB,105651,56673,48972,1110,1.1,677,1.2,433,0.9
